2026-01-24 01:08:54 | INFO     | database.db_manager:connect:28 - 正在连接数据库 127.0.0.1:3307...
2026-01-24 01:08:54 | INFO     | database.db_manager:connect:42 - 数据库连接成功 established.
2026-01-24 01:08:54 | INFO     | database.db_manager:close:125 - Database connection closed.
2026-01-24 01:08:54 | INFO     | scraper:run_scraper:20 - 正在启动浏览器 (Chrome Headless)...
2026-01-24 01:08:55 | INFO     | scraper:run_scraper:39 - 正在尝试登录 SauceDemo...
2026-01-24 01:08:56 | INFO     | scraper:run_scraper:41 - 登录成功！
2026-01-24 01:08:56 | INFO     | scraper:run_scraper:44 - 开始抓取商品列表...
2026-01-24 01:08:57 | INFO     | scraper:run_scraper:46 - 抓取完成，共获取 6 条商品信息。
2026-01-24 01:08:57 | INFO     | scraper:run_scraper:56 - 正在关闭浏览器...
2026-01-24 01:08:57 | INFO     | scraper:run_scraper:61 - 准备将数据存入数据库...
2026-01-24 01:08:57 | INFO     | database.db_manager:connect:28 - 正在连接数据库 127.0.0.1:3307...
2026-01-24 01:08:57 | INFO     | database.db_manager:connect:42 - 数据库连接成功 established.
2026-01-24 01:08:57 | INFO     | database.db_manager:save_product:68 - 正在清空旧数据 (TRUNCATE)...
2026-01-24 01:08:57 | INFO     | database.db_manager:save_product:84 - 正在批量插入 6 条数据...
2026-01-24 01:08:57 | SUCCESS  | database.db_manager:save_product:90 - 数据保存成功！(Committed)
2026-01-24 01:08:57 | INFO     | database.db_manager:close:125 - Database connection closed.
2026-01-24 01:08:57 | SUCCESS  | scraper:run_scraper:65 - 所有流程执行完毕，数据已入库！
